Point number,Y_y_EIS_ZReal_raw,Y_y_EIS_ZImaginary_raw,Y_y_EIS_ZMagnitude_raw,Y_y_EIS_ZPhase_raw,Y_y_EIS_ZPhase_raw_degree,P_y_Ripple_Frequency,P_y_Ripple_Amplitude,P_y_Ripple_Offset,P_y_Ripple_ControlMode,P_x_Goertzel_Frequency,P_x_Goertzel_DownsamplingRate,P_x_Goertzel_NumberOfPeriods,P_y_ScopeFrequencyHPCS,P_y_ScopeDurationHPCS,P_y_ScopePositionHPCS,Y_y_GoertzelVoltageReal,Y_y_GoertzelVoltageImaginary,Y_y_GoertzelCurrentReal,Y_y_GoertzelCurrentImaginary,Y_y_GoertzelCoefficient,Y_y_GoertzelProgress,StartTime,FinishTime,Duration[s],CurrentMagnitude,VoltageMagnitude,Y_y_EIS_ZReal,Y_y_EIS_ZImaginary,Y_y_EIS_ZMagnitude,Y_y_EIS_ZPhase
1.0,0.012499178759753704,0.002731052692979574,0.012794065289199352,0.21511775255203247,12.325339319570244,0.0,0.0,10.0,0.0,5555.5556640625,2.0,7000.0,0.0,0.0,0.0,51321.05078125,39720.74609375,4581581.5,2176799.5,1.946089744567871,100.0,20250410-132430,20250410-132449,19.38776,5.07241018691731,64896.74817381682,0.012499178759753704,0.002731052692979574,0.012794065752531879,12.325338577161373
2.0,0.012143634259700775,0.0014581087743863463,0.012230860069394112,0.11949976533651352,6.846832206585505,0.0,0.0,10.0,0.0,3030.302978515625,2.0,5000.0,0.0,0.0,0.0,-6633.85498046875,-57923.90234375,-1103109.25,-4637446.0,1.9839096069335938,100.0,20250410-132449,20250410-132509,19.792277,4.766839143536475,58302.54278014104,0.012143634259700775,0.0014581087743863463,0.012230859913813126,6.846832306482598
3.0,0.012039742432534695,0.0009907149942591786,0.012080435641109943,0.08210208266973495,4.704102826209682,0.0,0.0,10.0,0.0,2083.333251953125,4.0,3000.0,0.0,0.0,0.0,-13418.5380859375,-55137.34375,-1481332.75,-4457717.0,1.9696155786514282,100.0,20250410-132509,20250410-132529,19.587171,4.697402214874894,56746.66369196888,-0.9879602575674653,0.0009907149942591786,0.9879607543060465,179.94254448149974
4.0,0.011984110809862614,0.0005675328429788351,0.011997541412711143,0.047321755439043045,2.711336865807236,0.0,0.0,10.0,0.0,1190.4761962890625,4.0,2500.0,0.0,0.0,0.0,-51298.58984375,21894.015625,-4184647.75,2025093.125,1.990061640739441,100.0,20250410-132529,20250410-132549,20.180561,4.648900833154255,55775.38202598916,0.011984110809862614,-0.9994324671570212,0.9995043148078318,-89.31300404255464
5.0,0.01196092925965786,0.0003250496811233461,0.011965344659984112,0.02716926857829094,1.5566844219933706,0.0,0.0,10.0,0.0,653.5947875976562,10.0,1000.0,0.0,0.0,0.0,55307.71875,-3322.78515625,4613075.5,-403168.0,1.9812908172607422,100.0,20250410-132549,20250410-132609,19.686683,4.630659780735813,55407.442230477456,0.01196092925965786,0.0003250496811233461,0.011965345212309502,1.5566844082811002
6.0,0.011939868330955505,0.00019951819558627903,0.011941535398364067,0.016708696261048317,0.9573377769240243,0.0,0.0,10.0,0.0,366.30035400390625,10.0,500.0,0.0,0.0,0.0,-546.314697265625,-55206.05859375,-122983.921875,-4621619.0,1.994117259979248,100.0,20250410-132609,20250410-132628,19.491916,4.623255046631189,55208.76167063527,0.011939868330955505,0.00019951819558627903,0.01194153521415585,0.9573377515113761
7.0,0.011928098276257515,0.00011463792907306924,0.011928648687899113,0.009610450826585293,0.5506382715813144,0.0,0.0,10.0,0.0,204.4989776611328,10.0,500.0,0.0,0.0,0.0,37711.98046875,-40093.94921875,3129015.25,-3391375.0,1.9981658458709717,100.0,20250410-132628,20250410-132649,20.588395,4.6143429462229575,55042.87633137539,0.011928098276257515,0.00011463792907306924,0.011928649141576746,0.5506382608402681
8.0,0.01191859319806099,6.665268301730976e-05,0.011918779462575912,0.0055922698229551315,0.32041345875368005,0.0,0.0,10.0,0.0,114.1552505493164,10.0,500.0,0.0,0.0,0.0,-49248.14453125,24492.958984375,-4120422.25,2078063.75,1.999428391456604,100.0,20250410-132649,20250410-132711,22.497901,4.614783685868615,55002.588844355,0.01191859319806099,6.665268301730976e-05,0.011918779568438167,0.3204134545319225
9.0,0.011918901465833187,4.446478124009445e-05,0.011918984353542328,0.0037305934820324183,0.2137472615994574,0.0,0.0,10.0,0.0,63.97952651977539,100.0,300.0,0.0,0.0,0.0,55047.69140625,1552.9974365234375,4618942.5,113065.5546875,1.9820712804794312,100.0,20250410-132711,20250410-132734,22.7996,4.620326139783105,55069.593517617126,0.011918901465833187,4.446478124009445e-05,0.011918984405938755,0.2137472560304494
10.0,0.011913123540580273,2.2624290068051778e-05,0.011913144960999489,0.0018991042161360383,0.10881065644008832,0.0,0.0,10.0,0.0,35.727046966552734,100.0,300.0,0.0,0.0,0.0,-35757.453125,42843.203125,-2994677.25,3601990.25,1.994403600692749,100.0,20250410-132734,20250410-132801,26.523105,4.684274286670522,55804.43985917771,0.011913123540580273,2.2624290068051778e-05,0.011913145023528797,0.10881065512173081
11.0,0.011913654394447803,1.0990132068400271e-05,0.011913659051060677,0.0009224818204529583,0.05285431498949601,0.0,0.0,10.0,0.0,19.984012603759766,100.0,300.0,0.0,0.0,0.0,53101.16015625,10015.900390625,4457940.0,836595.3125,1.9982484579086304,100.0,20250410-132801,20250410-132834,33.245681,4.535760218584859,54037.50059518514,0.011913654394447803,1.0990132068400271e-05,0.011913659463546385,0.0528543118968034
12.0,0.01190917007625103,6.606553142773919e-06,0.01190917193889618,0.0005547449691221118,0.031784545436810085,0.0,0.0,10.0,0.0,11.170687675476074,100.0,300.0,0.0,0.0,0.0,51159.36328125,-16852.330078125,4295009.5,-1417454.375,1.9994527101516724,100.0,20250410-132834,20250410-132919,45.090373,4.522862313877893,53863.54500406548,0.01190917007625103,6.606553142773919e-06,0.011909171908727215,0.03178454677837244
