Point number,Y_y_EIS_ZReal_raw,Y_y_EIS_ZImaginary_raw,Y_y_EIS_ZMagnitude_raw,Y_y_EIS_ZPhase_raw,Y_y_EIS_ZPhase_raw_degree,P_y_Ripple_Frequency,P_y_Ripple_Amplitude,P_y_Ripple_Offset,P_y_Ripple_ControlMode,P_x_Goertzel_Frequency,P_x_Goertzel_DownsamplingRate,P_x_Goertzel_NumberOfPeriods,P_y_ScopeFrequencyHPCS,P_y_ScopeDurationHPCS,P_y_ScopePositionHPCS,Y_y_GoertzelVoltageReal,Y_y_GoertzelVoltageImaginary,Y_y_GoertzelCurrentReal,Y_y_GoertzelCurrentImaginary,Y_y_GoertzelCoefficient,Y_y_GoertzelProgress,StartTime,FinishTime,Duration[s],CurrentMagnitude,VoltageMagnitude,Y_y_EIS_ZReal,Y_y_EIS_ZImaginary,Y_y_EIS_ZMagnitude,Y_y_EIS_ZPhase
1.0,0.00010960002691717818,0.0005652489489875734,0.000575776444748044,1.379275918006897,79.02668888582218,0.0,0.0,70.0,0.0,5555.5556640625,2.0,7000.0,0.0,0.0,0.0,-2987.82275390625,349.7515563964844,-391437.4375,5209954.5,1.946089744567871,100.0,20250409-152154,20250409-152213,19.375003,5.22463866306052,3008.2238879381453,0.00010960002691717818,0.0005652489489875734,0.000575776467243845,79.02669053314325
2.0,6.115760334068909e-05,0.0003271052264608443,0.000332773313857615,1.3859641551971436,79.40989664920572,0.0,0.0,70.0,0.0,3030.302978515625,2.0,5000.0,0.0,0.0,0.0,1170.1766357421875,1107.0390625,3916299.25,-2845155.25,1.9839096069335938,100.0,20250409-152213,20250409-152233,19.775936,4.840692947518271,1610.8534522847767,6.115760334068909e-05,0.0003271052264608443,0.00033277331867861233,79.40989636804602
3.0,4.5825159759260714e-05,0.00022865163919050246,0.0002331984433112666,1.373002052307129,78.6672228599936,0.0,0.0,70.0,0.0,2083.333251953125,4.0,3000.0,0.0,0.0,0.0,-1021.2589111328125,437.90753173828125,980644.25,4662976.0,1.9696155786514282,100.0,20250409-152233,20250409-152253,19.572929,4.764977263496024,1111.1852995433712,-0.9999541748402407,0.00022865163919050246,0.9999542009822243,179.98689862593952
4.0,3.018980351043865e-05,0.00013868906535208225,0.00014193689275998622,1.3564602136611938,77.71944532019518,0.0,0.0,70.0,0.0,1190.4761962890625,4.0,2500.0,0.0,0.0,0.0,-384.4266662597656,-547.4169921875,-4344592.5,1826130.0,1.990061640739441,100.0,20250409-152253,20250409-152313,20.175245,4.712773574866105,668.916455969807,3.018980351043865e-05,-0.9998613109346479,0.9998613113904232,-89.99827001173867
5.0,2.3473317924072035e-05,8.138276461977512e-05,8.470036118524149e-05,1.2899867296218872,73.91079523521292,0.0,0.0,70.0,0.0,653.5947875976562,10.0,1000.0,0.0,0.0,0.0,389.5328369140625,78.8262939453125,2168720.75,-4160902.75,1.9812908172607422,100.0,20250409-152313,20250409-152332,19.670827,4.692170221383504,397.42850382360655,2.3473317924072035e-05,8.138276461977512e-05,8.470036027976671e-05,73.91079524675035
6.0,1.4870926861476619e-05,4.96877109981142e-05,5.186533599044196e-05,1.2799930572509766,73.33819998652328,0.0,0.0,70.0,0.0,366.30035400390625,10.0,500.0,0.0,0.0,0.0,59.107948303222656,235.58836364746094,4678355.0,210585.8125,1.994117259979248,100.0,20250409-152332,20250409-152352,19.469023,4.683092129186792,242.890153441231,1.4870926861476619e-05,4.96877109981142e-05,5.1865336111429046e-05,73.33819863047005
7.0,1.0322795787942596e-05,3.194269083905965e-05,3.356926754349843e-05,1.2582240104675293,72.090925481809,0.0,0.0,70.0,0.0,204.4989776611328,10.0,500.0,0.0,0.0,0.0,79.43305969238281,-135.4487762451172,-3111758.5,-3492351.5,1.9981658458709717,100.0,20250409-152352,20250409-152413,20.575846,4.677559188495053,157.02223396192488,1.0322795787942596e-05,3.194269083905965e-05,3.3569265868042314e-05,72.09092449737508
8.0,6.741813194821589e-06,1.6966896509984508e-05,1.825726212700829e-05,1.1925756931304932,68.32955396626156,0.0,0.0,70.0,0.0,114.1552505493164,10.0,500.0,0.0,0.0,0.0,76.60549926757812,-37.766090393066406,-372946.53125,-4663188.5,1.999428391456604,100.0,20250409-152413,20250409-152435,22.477368,4.678078248779476,85.4088994286437,6.741813194821589e-06,1.6966896509984508e-05,1.82572621806884e-05,68.32955203218677
9.0,6.598509571631439e-06,7.52823780203471e-06,1.0010729056375567e-05,0.8511167168617249,48.76539574920469,0.0,0.0,70.0,0.0,63.97952651977539,100.0,300.0,0.0,0.0,0.0,46.62909698486328,5.595791339874268,3490595.75,-3134381.25,1.9820712804794312,100.0,20250409-152435,20250409-152458,22.785028,4.691332914030896,46.96366219049785,6.598509571631439e-06,7.52823780203471e-06,1.0010728893087462e-05,48.765395610870165
10.0,9.279918231186457e-06,9.189912816509604e-06,1.3060297533229459e-05,0.7805250883102417,44.72079336424977,0.0,0.0,70.0,0.0,35.727046966552734,100.0,300.0,0.0,0.0,0.0,56.95112228393555,-20.88733673095703,1973068.125,-4204742.0,1.994403600692749,100.0,20250409-152458,20250409-152524,26.49427,4.644658557144434,60.660622854634184,9.279918231186457e-06,9.189912816509604e-06,1.3060297850836108e-05,44.72079389568676
11.0,5.696240350516746e-06,4.3483437366376165e-06,7.1662575464870315e-06,0.6520037055015564,37.35706055212737,0.0,0.0,70.0,0.0,19.984012603759766,100.0,300.0,0.0,0.0,0.0,7.422636032104492,33.22206497192383,3636280.5,3056449.0,1.9982484579086304,100.0,20250409-152524,20250409-152558,33.221255,4.750201718272735,34.041168115442574,5.696240350516746e-06,4.3483437366376165e-06,7.166257557666395e-06,37.35705827537295
