Point number,Y_y_EIS_ZReal_raw,Y_y_EIS_ZImaginary_raw,Y_y_EIS_ZMagnitude_raw,Y_y_EIS_ZPhase_raw,Y_y_EIS_ZPhase_raw_degree,P_y_Ripple_Frequency,P_y_Ripple_Amplitude,P_y_Ripple_Offset,P_y_Ripple_ControlMode,P_x_Goertzel_Frequency,P_x_Goertzel_DownsamplingRate,P_x_Goertzel_NumberOfPeriods,P_y_ScopeFrequencyHPCS,P_y_ScopeDurationHPCS,P_y_ScopePositionHPCS,Y_y_GoertzelVoltageReal,Y_y_GoertzelVoltageImaginary,Y_y_GoertzelCurrentReal,Y_y_GoertzelCurrentImaginary,Y_y_GoertzelCoefficient,Y_y_GoertzelProgress,StartTime,FinishTime,Duration[s],CurrentMagnitude,VoltageMagnitude,Y_y_EIS_ZReal,Y_y_EIS_ZImaginary,Y_y_EIS_ZMagnitude,Y_y_EIS_ZPhase
1.0,0.000329993839841336,0.0005328587139956653,0.0006267650169320405,1.016313910484314,58.2304977311839,0.0,0.0,70.0,0.0,5555.5556640625,2.0,7000.0,0.0,0.0,0.0,-962.7730102539062,3081.651123046875,3371333.25,3894638.75,1.946089744567871,100.0,20250409-134921,20250409-134941,19.36611,5.151125981332346,3228.5454175912464,0.000329993839841336,0.0005328587139956653,0.0006267649826006105,58.23049921301101
2.0,0.0001258043630514294,0.00030950488871894777,0.00033409582101739943,1.184725046157837,67.87974502828123,0.0,0.0,70.0,0.0,3030.302978515625,2.0,5000.0,0.0,0.0,0.0,368.5761413574219,-1551.52587890625,-3886725.5,-2770693.5,1.9839096069335938,100.0,20250409-134941,20250409-135001,19.770564,4.773193646112894,1594.7040242294925,0.0001258043630514294,0.00030950488871894777,0.00033409581545374686,67.87974719537384
3.0,7.59114118409343e-05,0.0002189837978221476,0.00023176809190772474,1.237106204032898,70.88096430053048,0.0,0.0,70.0,0.0,2083.333251953125,4.0,3000.0,0.0,0.0,0.0,-963.9675903320312,509.8909606933594,716386.125,4650341.5,1.9696155786514282,100.0,20250409-135001,20250409-135020,19.56296,4.7051976735005265,1090.5146982078415,-0.9999240885881591,0.0002189837978221476,0.9999241125669309,179.98745220027058
4.0,4.034103767480701e-05,0.00013331268564797938,0.00013928271073382348,1.2769516706466675,73.16394137022876,0.0,0.0,70.0,0.0,1190.4761962890625,4.0,2500.0,0.0,0.0,0.0,-647.828125,19.31946563720703,-1214377.625,4491987.0,1.990061640739441,100.0,20250409-135020,20250409-135040,20.17064,4.653241904765928,648.1161325669366,4.034103767480701e-05,-0.999866687314352,0.9998666881281602,-89.9976883206192
5.0,2.1426170860650018e-05,8.048941526794806e-05,8.329241973115131e-05,1.3106309175491333,75.09362007491897,0.0,0.0,70.0,0.0,653.5947875976562,10.0,1000.0,0.0,0.0,0.0,321.48980712890625,-213.453369140625,-1483568.0,-4389111.0,1.9812908172607422,100.0,20250409-135040,20250409-135100,19.674273,4.633062635119991,385.8989982952343,2.1426170860650018e-05,8.048941526794806e-05,8.329241722945708e-05,75.09362271976232
6.0,1.6518981283297762e-05,4.746406921185553e-05,5.0256487156730145e-05,1.235876441001892,70.81050406905264,0.0,0.0,70.0,0.0,366.30035400390625,10.0,500.0,0.0,0.0,0.0,-90.84716796875,213.9866180419922,3427138.25,3106771.25,1.994117259979248,100.0,20250409-135100,20250409-135119,19.472138,4.625722017635693,232.47253736515145,1.6518981283297762e-05,4.746406921185553e-05,5.0256488225758014e-05,70.81050423589906
7.0,1.0060879503726028e-05,3.2767740776762366e-05,3.42774874297902e-05,1.2728970050811768,72.93162614598913,0.0,0.0,70.0,0.0,204.4989776611328,10.0,500.0,0.0,0.0,0.0,100.17557525634766,122.58792114257812,4276607.5,-1744067.125,1.9981658458709717,100.0,20250409-135119,20250409-135140,20.573601,4.618564911913874,158.31280519275478,1.0060879503726028e-05,3.2767740776762366e-05,3.4277487247486354e-05,72.93162330999854
8.0,8.093913493212312e-06,1.7659396689850837e-05,1.942590461112559e-05,1.1410329341888428,65.376371414445,0.0,0.0,70.0,0.0,114.1552505493164,10.0,500.0,0.0,0.0,0.0,-0.14014126360416412,89.76010131835938,4197453.0,1931773.875,1.999428391456604,100.0,20250409-135140,20250409-135202,22.480057,4.6206451921069975,89.76021071864696,8.093913493212312e-06,1.7659396689850837e-05,1.9425903507562242e-05,65.37637262369513
9.0,7.197244826784299e-07,1.4230844499252271e-05,1.4249032574298326e-05,1.5202643871307373,87.10473312662822,0.0,0.0,70.0,0.0,63.97952651977539,100.0,300.0,0.0,0.0,0.0,-51.600101470947266,-41.16652297973633,-3068300.75,3470754.75,1.9820712804794312,100.0,20250409-135202,20250409-135225,22.776251,4.632559554619684,66.00949239354301,7.197244826784299e-07,1.4230844499252271e-05,1.4249032896757076e-05,87.10473472306298
10.0,3.6342214571050135e-06,2.924526597780641e-06,4.664806510845665e-06,0.6776117086410522,38.824291053778154,0.0,0.0,70.0,0.0,35.727046966552734,100.0,300.0,0.0,0.0,0.0,21.015289306640625,4.121576309204102,4063702.25,-2136036.5,1.994403600692749,100.0,20250409-135225,20250409-135252,26.491097,4.590896198563774,21.41564325240772,3.6342214571050135e-06,2.924526597780641e-06,4.664806686284964e-06,38.8242898824933
