Point number,Y_y_EIS_ZReal_raw,Y_y_EIS_ZImaginary_raw,Y_y_EIS_ZMagnitude_raw,Y_y_EIS_ZPhase_raw,Y_y_EIS_ZPhase_raw_degree,P_y_Ripple_Frequency,P_y_Ripple_Amplitude,P_y_Ripple_Offset,P_y_Ripple_ControlMode,P_x_Goertzel_Frequency,P_x_Goertzel_DownsamplingRate,P_x_Goertzel_NumberOfPeriods,P_y_ScopeFrequencyHPCS,P_y_ScopeDurationHPCS,P_y_ScopePositionHPCS,Y_y_GoertzelVoltageReal,Y_y_GoertzelVoltageImaginary,Y_y_GoertzelCurrentReal,Y_y_GoertzelCurrentImaginary,Y_y_GoertzelCoefficient,Y_y_GoertzelProgress,StartTime,FinishTime,Duration[s],CurrentMagnitude,VoltageMagnitude,Y_y_EIS_ZReal,Y_y_EIS_ZImaginary,Y_y_EIS_ZMagnitude,Y_y_EIS_ZPhase
1.0,0.00016912167484406382,0.0005204018671065569,0.0005471930489875376,1.2565799951553345,71.99673034296535,0.0,0.0,70.0,0.0,5555.5556640625,2.0,7000.0,0.0,0.0,0.0,-2828.312255859375,326.2212219238281,-1030534.1875,5099956.0,1.946089744567871,100.0,20250410-092636,20250410-092655,19.366351,5.203032953340031,2847.0634875741393,0.00016912167484406382,0.0005204018671065569,0.0005471930593401672,71.99672785151205
2.0,7.808632653905079e-05,0.0003090504906140268,0.0003187627298757434,1.3233107328414917,75.8201199761765,0.0,0.0,70.0,0.0,3030.302978515625,2.0,5000.0,0.0,0.0,0.0,-1301.1573486328125,-822.8511962890625,-3502670.0,3325174.25,1.9839096069335938,100.0,20250410-092655,20250410-092715,19.771877,4.829646045184167,1539.5111357621001,7.808632653905079e-05,0.0003090504906140268,0.0003187627333003874,75.8201208998004
3.0,5.1285642257425934e-05,0.00021733799076173455,0.0002233070117654279,1.3390636444091797,76.72269532404778,0.0,0.0,70.0,0.0,2083.333251953125,4.0,3000.0,0.0,0.0,0.0,742.1138305664062,-774.517333984375,-2612445.5,-4031024.5,1.9696155786514282,100.0,20250410-092715,20250410-092735,19.574117,4.803543484769395,1072.6649235246805,-0.9999487143577426,0.00021733799076173455,0.9999487379768548,179.987546811916
4.0,3.2916686905082315e-05,0.00012997206067666411,0.00013407552614808083,1.3227521181106567,75.78811370972582,0.0,0.0,70.0,0.0,1190.4761962890625,4.0,2500.0,0.0,0.0,0.0,19.271928787231445,-568.7296752929688,-4076746.75,-1180753.125,1.990061640739441,100.0,20250410-092735,20250410-092755,20.173886,4.244295230757732,569.0561051408075,3.2916686905082315e-05,-0.9998700279393233,0.9998700284811479,-89.99811376760202
5.0,2.404650513199158e-05,7.965866097947583e-05,8.320899360114709e-05,1.2776254415512085,73.20254559941766,0.0,0.0,70.0,0.0,653.5947875976562,10.0,1000.0,0.0,0.0,0.0,-196.26199340820312,342.2649841308594,3256183.25,3446729.0,1.9812908172607422,100.0,20250410-092755,20250410-092814,19.670105,4.741589412530525,394.5428866658972,2.404650513199158e-05,7.965866097947583e-05,8.320899397364423e-05,73.20254616042455
6.0,1.630376027605962e-05,4.973471368430182e-05,5.233884076005779e-05,1.2540209293365479,71.8501066720527,0.0,0.0,70.0,0.0,366.30035400390625,10.0,500.0,0.0,0.0,0.0,-219.149169921875,116.52786254882812,811331.5,4672328.5,1.994117259979248,100.0,20250410-092814,20250410-092834,19.469371,4.742247612135462,248.20374982591505,1.630376027605962e-05,4.973471368430182e-05,5.233884164173581e-05,71.8501060761288
7.0,1.052635798259871e-05,2.9225431717350148e-05,3.106332223978825e-05,1.2250831127166748,70.19209191141056,0.0,0.0,70.0,0.0,204.4989776611328,10.0,500.0,0.0,0.0,0.0,-130.4360809326172,67.66527557373047,626501.3125,4688754.0,1.9981658458709717,100.0,20250410-092834,20250410-092854,20.575772,4.730424713181706,146.94271240020427,1.052635798259871e-05,2.9225431717350148e-05,3.106332357368277e-05,70.19209484963365
8.0,7.689415724598803e-06,1.7625465261517093e-05,1.9229772078688256e-05,1.1594209671020508,66.4299280939194,0.0,0.0,70.0,0.0,114.1552505493164,10.0,500.0,0.0,0.0,0.0,-18.992942810058594,-88.78958892822266,-4627030.5,-941037.125,1.999428391456604,100.0,20250410-092854,20250410-092917,22.475033,4.721754135759137,90.79825427082238,7.689415724598803e-06,1.7625465261517093e-05,1.9229772226177123e-05,66.42992640233872
9.0,8.376219739147928e-06,8.734548828215338e-06,1.2101792890462093e-05,0.8063368201255798,46.1996966591921,0.0,0.0,70.0,0.0,63.97952651977539,100.0,300.0,0.0,0.0,0.0,-46.17019271850586,-33.646297454833984,-4647327.5,829253.75,1.9820712804794312,100.0,20250410-092917,20250410-092940,22.77832,4.720732429840238,57.12932721539034,8.376219739147928e-06,8.734548828215338e-06,1.2101793270047598e-05,46.19969736572373
10.0,6.702629434585106e-06,3.915860816050554e-06,7.762680979794823e-06,0.5287414193153381,30.294651780523825,0.0,0.0,70.0,0.0,35.727046966552734,100.0,300.0,0.0,0.0,0.0,-36.0257453918457,8.020206451416016,-3485960.25,3233170.25,1.994403600692749,100.0,20250410-092940,20250410-093006,26.491938,4.7545040466977335,36.907696251072444,6.702629434585106e-06,3.915860816050554e-06,7.762680417745326e-06,30.294649591132575
