Point number,Y_y_EIS_ZReal_raw,Y_y_EIS_ZImaginary_raw,Y_y_EIS_ZMagnitude_raw,Y_y_EIS_ZPhase_raw,Y_y_EIS_ZPhase_raw_degree,P_y_Ripple_Frequency,P_y_Ripple_Amplitude,P_y_Ripple_Offset,P_y_Ripple_ControlMode,P_x_Goertzel_Frequency,P_x_Goertzel_DownsamplingRate,P_x_Goertzel_NumberOfPeriods,P_y_ScopeFrequencyHPCS,P_y_ScopeDurationHPCS,P_y_ScopePositionHPCS,Y_y_GoertzelVoltageReal,Y_y_GoertzelVoltageImaginary,Y_y_GoertzelCurrentReal,Y_y_GoertzelCurrentImaginary,Y_y_GoertzelCoefficient,Y_y_GoertzelProgress,StartTime,FinishTime,Duration[s],CurrentMagnitude,VoltageMagnitude,Y_y_EIS_ZReal,Y_y_EIS_ZImaginary,Y_y_EIS_ZMagnitude,Y_y_EIS_ZPhase
1.0,0.00011633946996880695,0.00038523334660567343,0.0004024172085337341,1.277508020401001,73.19581786308521,0.0,0.0,300.0,0.0,5555.5556640625,2.0,7000.0,0.0,0.0,0.0,738.6304321289062,-1960.4588623046875,-4133036.25,-3165524.75,1.946089744567871,100.0,20250319-144439,20250319-144458,19.560388,5.206009564597113,2094.9877961591865,0.00011633946996880695,0.00038523334660567343,0.00040241720093657756,73.19582024632133
2.0,6.926327478140593e-05,0.00022866505605634302,0.0002389248984400183,1.2766785621643066,73.14829340684025,0.0,0.0,300.0,0.0,3030.302978515625,2.0,5000.0,0.0,0.0,0.0,-137.69384765625,1146.9552001953125,4427274.5,1943197.625,1.9839096069335938,100.0,20250319-144458,20250319-144519,20.153409,4.834953620062543,1155.1908184094314,6.926327478140593e-05,0.00022866505605634302,0.00023892490262568915,73.14829495573572
3.0,4.512441955739632e-05,0.00016671672347001731,0.00017271560500375926,1.3064645528793335,74.85490496342705,0.0,0.0,300.0,0.0,2083.333251953125,4.0,3000.0,0.0,0.0,0.0,-130.24130249023438,811.692138671875,4339344.5,1955722.875,1.9696155786514282,100.0,20250319-144519,20250319-144538,19.733827,4.759701950067726,822.0747684098296,-0.9999548755804426,0.00016671672347001731,0.9999548894783026,179.99044740439223
4.0,3.960505637223832e-05,0.00010560329974396154,0.00011278571764705703,1.211993932723999,69.44213714054321,0.0,0.0,300.0,0.0,1190.4761962890625,4.0,2500.0,0.0,0.0,0.0,55.73823165893555,-528.5701293945312,-4214515.0,-2108403.25,1.990061640739441,100.0,20250319-144538,20250319-144559,20.304146,4.712483522500165,531.500829873874,3.960505637223832e-05,-0.999894396700256,0.9998943974846192,-89.99773055775717
5.0,1.735992555040866e-05,6.584581569768488e-05,6.809580372646451e-05,1.3130170106887817,75.23033314134594,0.0,0.0,300.0,0.0,653.5947875976562,10.0,1000.0,0.0,0.0,0.0,-263.39385986328125,180.93536376953125,1583195.625,4417562.5,1.9812908172607422,100.0,20250319-144559,20250319-144619,20.017293,4.692692918615642,319.5527050051219,1.735992555040866e-05,6.584581569768488e-05,6.809580354184255e-05,75.23033434993123
6.0,1.422471359546762e-05,3.308475425001234e-05,3.601309799705632e-05,1.164742350578308,66.73482090827957,0.0,0.0,300.0,0.0,366.30035400390625,10.0,500.0,0.0,0.0,0.0,159.53451538085938,-54.9538459777832,347893.71875,-4672419.0,1.994117259979248,100.0,20250319-144619,20250319-144639,20.056303,4.685352638927694,168.7340712054195,1.422471359546762e-05,3.308475425001234e-05,3.601310095863436e-05,66.73482478553937
7.0,1.413938298355788e-05,2.6333480491302907e-05,2.9889368306612596e-05,1.0780386924743652,61.767067230578725,0.0,0.0,300.0,0.0,204.4989776611328,10.0,500.0,0.0,0.0,0.0,28.449939727783203,137.06198120117188,4490372.5,1330669.375,1.9981658458709717,100.0,20250319-144639,20250319-144659,20.590193,4.683388321965107,139.9835196060768,1.413938298355788e-05,2.6333480491302907e-05,2.988936844333712e-05,61.76706585376577
8.0,6.03643184149405e-06,1.787359178706538e-05,1.886541213025339e-05,1.2450947761535645,71.33867576738052,0.0,0.0,300.0,0.0,114.1552505493164,10.0,500.0,0.0,0.0,0.0,-53.0466194152832,-70.61284637451172,-4445913.5,1466362.5,1.999428391456604,100.0,20250319-144659,20250319-144722,22.496952,4.681491838173863,88.31827616354552,6.03643184149405e-06,1.787359178706538e-05,1.8865412604755145e-05,71.33867854361414
9.0,7.342506705754204e-06,1.0809081629759021e-07,7.343302513618255e-06,0.014720178209245205,0.8434040850701366,0.0,0.0,300.0,0.0,63.97952651977539,100.0,300.0,0.0,0.0,0.0,30.812480926513672,15.289969444274902,4226192.0,2020176.125,1.9820712804794312,100.0,20250319-144722,20250319-144745,23.025898,4.684208620128273,34.397560181699355,7.342506705754204e-06,1.0809081629759021e-07,7.343302278172494e-06,0.8434040991357815
10.0,1.0484627637197264e-05,2.1267121610435424e-06,1.0698146070353687e-05,0.2001257836818695,11.466362776718448,0.0,0.0,300.0,0.0,35.727046966552734,100.0,300.0,0.0,0.0,0.0,18.017183303833008,46.736602783203125,2518986.0,3946677.5,1.994403600692749,100.0,20250319-144745,20250319-144812,26.704429,4.6820458943929895,50.089209755383735,1.0484627637197264e-05,2.1267121610435424e-06,1.0698145694773986e-05,11.466362247892752
