Sweep configuration name:	Ref_1mOhm_config
Version:	1
Calibration file:	EIS_default_calibration
Type:	Galvanostatic
Sweep Type:	Logarithmic
Intial Frequency:	5000.000000
Final Frequency:	10.000000
Points per decade:	5.000000
Amplitude:	20.000000
Offset:	100.000000
Debug flag:	0

Y_y_CH1_EisZPoint	Y_y_CH1_EisZReal	Y_y_CH1_EisZImaginary	Y_y_CH1_EisZMagnitude	Y_y_CH1_EisZPhase	Y_y_CH1_EisZPhaseRad	Y_y_CH1_EisZRealRaw	Y_y_CH1_EisZImaginaryRaw	Y_y_CH1_EisZMagnitudeRaw	Y_y_CH1_EisZPhaseRaw	Y_y_CH1_EisZPhaseRadRaw	Y_y_CH1_EisZValidity	Y_y_CH1_EisCalibGain	Y_y_CH1_EisCalibPhase	Y_y_CH1_EisCalibOffsetReal	Y_y_CH1_EisCalibOffsetImg	P_x_CH1_RippleFrequency	P_x_CH1_RippleAmplitudeCurrent	P_x_CH1_RippleOffsetCurrent	P_x_CH1_GoertzelDownsamplingRate	P_x_CH1_GoertzelNumberOfPeriods	Y_y_CH1_GoertzelVoltageReal	Y_y_CH1_GoertzelVoltageImaginary	Y_y_CH1_GoertzelCurrentReal	Y_y_CH1_GoertzelCurrentImaginary	Y_y_CH1_GoertzelCoefficient	Y_y_CH1_EisZStartTime	Y_y_CH1_EisZStopTime
1	0.000612	0.006180	0.006210	84.342590	1.472056	0.000612	0.006180	0.006210	84.342590	1.472056	0	1.000000	0.000000	0.000000	0.000000	4761.904785	20.000000	100.000000	6.000000	5000.000000	-133491.515625	18801.791016	893826.937500	21690224.000000	1.652478	2025-06-11-200959	2025-06-11-201002
2	0.000844	0.003868	0.003959	77.693642	1.356010	0.000844	0.003868	0.003959	77.693642	1.356010	0	1.000000	0.000000	0.000000	0.000000	3030.303223	20.000000	100.000000	9.000000	5000.000000	-16028.653320	-80066.734375	-20621000.000000	-354861.937500	1.682507	2025-06-11-201003	2025-06-11-201007
3	0.000956	0.002488	0.002665	68.976326	1.203864	0.000956	0.002488	0.002665	68.976326	1.203864	0	1.000000	0.000000	0.000000	0.000000	1960.784424	20.000000	100.000000	15.000000	5000.000000	-52609.527344	-13503.588867	-11810400.000000	16606971.000000	1.632394	2025-06-11-201007	2025-06-11-201012
4	0.001001	0.001568	0.001861	57.450092	1.002693	0.001001	0.001568	0.001861	57.450092	1.002693	0	1.000000	0.000000	0.000000	0.000000	1234.567871	20.000000	100.000000	24.000000	5000.000000	-30343.908203	22093.792969	1234728.125000	20136058.000000	1.627104	2025-06-11-201012	2025-06-11-201019
5	0.001013	0.001017	0.001436	45.101963	0.787178	0.001013	0.001017	0.001436	45.101963	0.787178	0	1.000000	0.000000	0.000000	0.000000	793.650818	20.000000	100.000000	36.000000	2500.000000	10962.884766	-27434.423828	-8145348.500000	-18894990.000000	1.652478	2025-06-11-201019	2025-06-11-201025
6	0.001012	0.000641	0.001198	32.373268	0.565020	0.001012	0.000641	0.001198	32.373268	0.565020	0	1.000000	0.000000	0.000000	0.000000	497.512451	20.000000	100.000000	60.000000	2500.000000	11336.400391	21820.796875	17743942.000000	10316374.000000	1.621701	2025-06-11-201025	2025-06-11-201032
7	0.001011	0.000412	0.001091	22.173639	0.387003	0.001011	0.000412	0.001091	22.173639	0.387003	0	1.000000	0.000000	0.000000	0.000000	314.465424	20.000000	100.000000	90.000000	2500.000000	-7273.248047	21155.984375	1144820.125000	20469534.000000	1.658811	2025-06-11-201032	2025-06-11-201043
8	0.001007	0.000265	0.001041	14.721733	0.256943	0.001007	0.000265	0.001041	14.721733	0.256943	0	1.000000	0.000000	0.000000	0.000000	199.600800	20.000000	100.000000	150.000000	2500.000000	-7891.353516	19825.615234	-2490849.750000	20337062.000000	1.619507	2025-06-11-201043	2025-06-11-201058
9	0.001006	0.000168	0.001020	9.500433	0.165814	0.001006	0.000168	0.001020	9.500433	0.165814	0	1.000000	0.000000	0.000000	0.000000	125.786171	20.000000	100.000000	225.000000	2500.000000	18806.257812	9120.624023	19657424.000000	5775034.500000	1.658811	2025-06-11-201058	2025-06-11-201121
10	0.001001	0.000105	0.001007	5.978340	0.104342	0.001001	0.000105	0.001007	5.978340	0.104342	0	1.000000	0.000000	0.000000	0.000000	79.176567	20.000000	100.000000	125.000000	125.000000	10174.237305	18140.771484	11925382.000000	16865160.000000	1.957187	2025-06-11-201121	2025-06-11-201125
11	0.000999	0.000068	0.001002	3.885777	0.067820	0.000999	0.000068	0.001002	3.885777	0.067820	0	1.000000	0.000000	0.000000	0.000000	49.975014	20.000000	100.000000	225.000000	125.000000	-5741.490723	-19861.703125	-7063604.000000	-19397660.000000	1.944795	2025-06-11-201125	2025-06-11-201130
12	0.000994	0.000048	0.000995	2.774440	0.048423	0.000994	0.000048	0.000995	2.774440	0.048423	0	1.000000	0.000000	0.000000	0.000000	31.535795	20.000000	100.000000	375.000000	125.000000	8460.007812	18723.058594	9402157.000000	18381134.000000	1.938967	2025-06-11-201130	2025-06-11-201137
13	0.000995	0.000027	0.000995	1.538440	0.026851	0.000995	0.000027	0.000995	1.538440	0.026851	0	1.000000	0.000000	0.000000	0.000000	19.900499	20.000000	100.000000	625.000000	125.000000	-6014.860352	-19632.091797	-6571499.500000	-19557972.000000	1.932524	2025-06-11-201137	2025-06-11-201146
14	0.000998	0.000018	0.000998	1.040370	0.018158	0.000998	0.000018	0.000998	1.040370	0.018158	0	1.000000	0.000000	0.000000	0.000000	12.559659	20.000000	100.000000	750.000000	125.000000	-19587.388672	-6347.559082	-19741006.000000	-6003516.000000	1.961204	2025-06-11-201146	2025-06-11-201158
